"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.18";"2018-11-21 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.40";"2018-11-21 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.65";"2018-11-21 00:00:00"
"Toscafund Asset Management LLP";"Wereldhave N.V.";"NL0000289213";"0.64";"2018-11-21 00:00:00"
"Davidson Kempner European Partners, LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"0.73";"2018-11-20 00:00:00"
"Marshall Wace Asia Limited";"ARCADIS N.V.";"NL0006237562";"1.30";"2018-11-20 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.23";"2018-11-20 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.76";"2018-11-19 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.35";"2018-11-16 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.09";"2018-11-13 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.59";"2018-11-13 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.81";"2018-11-13 00:00:00"
"BlueMountain Capital Management, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.69";"2018-11-12 00:00:00"
"Davidson Kempner European Partners, LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"0.69";"2018-11-12 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.68";"2018-11-12 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"4.87";"2018-11-09 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.30";"2018-11-09 00:00:00"
"Great Point Partners, LLC";"Pharming Group N.V.";"NL0010391025";"0.74";"2018-11-08 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.72";"2018-11-08 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.29";"2018-11-07 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.30";"2018-11-06 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.77";"2018-11-02 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"2.09";"2018-11-02 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.30";"2018-11-01 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.29";"2018-10-31 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.82";"2018-10-30 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Aperam S.A.";"LU0569974404";"1.19";"2018-10-30 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"2.16";"2018-10-30 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.47";"2018-10-30 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.18";"2018-10-30 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.61";"2018-10-30 00:00:00"
