Marshall Wace LLP;Proximus;BE0003810273;0,79%;28/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;28/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;29/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;29/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;30/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;30/07/2013
Marshall Wace LLP;Proximus;BE0003810273;0,79%;31/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;31/07/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;01/08/2013
Marshall Wace LLP;Proximus;BE0003810273;0,83%;01/08/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;02/08/2013
Marshall Wace LLP;Proximus;BE0003810273;0,83%;02/08/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;03/08/2013
Marshall Wace LLP;Proximus;BE0003810273;0,83%;03/08/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;04/08/2013
Marshall Wace LLP;Proximus;BE0003810273;0,83%;04/08/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;05/08/2013
